Level,Code,Market,Side,ProbBin,Sample,Wins,MeanPred,HitRate,Brier,CalibrationGap
LIGA,USA,1X2,A,0.1,155,17,0.13076373150851783,0.10967741935483871,0.09739963781784478,0.02108631215367912
LIGA,USA,1X2,A,0.15,345,58,0.1762488349119994,0.1681159420289855,0.13905837325095474,0.008132892883013915
LIGA,USA,1X2,A,0.2,525,122,0.22584083864756047,0.23238095238095238,0.17829091991981066,0.006540113733391917
LIGA,USA,1X2,A,0.25,336,104,0.2722048834257006,0.30952380952380953,0.21496081174028814,0.03731892609810894
LIGA,USA,1X2,A,0.3,296,117,0.3278412328509267,0.3952702702702703,0.2427144251867895,0.06742903741934358
LIGA,USA,1X2,A,0.35,212,78,0.36845645894585355,0.36792452830188677,0.23253928586172434,0.0005319306439667826
LIGA,USA,1X2,A,0.4,88,30,0.4264260457798011,0.3409090909090909,0.23211419360447305,0.0855169548707102
LIGA,USA,1X2,A,0.45,43,25,0.47315381129781764,0.5813953488372093,0.251495105294482,0.1082415375393917
LIGA,USA,1X2,A,0.5,16,7,0.5254755042049397,0.4375,0.256112769829496,0.08797550420493971
LIGA,USA,1X2,A,0.55,1,1,0.5850478545116294,1.0,0.17218528304540184,0.41495214548837056
LIGA,USA,1X2,A,0.6,1,0,0.6114516512398882,0.0,0.37387312180398585,0.6114516512398882
LIGA,USA,1X2,D,0.1,17,1,0.13557137251214643,0.058823529411764705,0.06110330308373919,0.07674784310038173
LIGA,USA,1X2,D,0.15,159,29,0.18097835185436395,0.18238993710691823,0.1490546534869382,0.001411585252554276
LIGA,USA,1X2,D,0.2,682,177,0.2291253016993215,0.2595307917888563,0.1922908559330414,0.030405490089534803
LIGA,USA,1X2,D,0.25,1134,314,0.27093885601182344,0.2768959435626102,0.2005494949240401,0.005957087550786777
LIGA,USA,1X2,D,0.3,62,15,0.31024920609526463,0.24193548387096775,0.18938634904061621,0.06831372222429688
LIGA,USA,1X2,D,0.35,2,0,0.37395704301841093,0.0,0.13990022798339327,0.37395704301841093
LIGA,USA,1X2,H,0.15,1,0,0.1833859655645348,0.0,0.03363041236603674,0.1833859655645348
LIGA,USA,1X2,H,0.2,16,7,0.23349404219097575,0.4375,0.28332375065699855,0.20400595780902425
LIGA,USA,1X2,H,0.25,58,13,0.27554736981356825,0.22413793103448276,0.1765779082553443,0.05140943877908549
LIGA,USA,1X2,H,0.3,172,55,0.33258130915354295,0.31976744186046513,0.21890354807097417,0.012813867293077819
LIGA,USA,1X2,H,0.35,251,88,0.3745549883959432,0.350597609561753,0.22790071460169267,0.02395737883419019
LIGA,USA,1X2,H,0.4,285,102,0.4269319956171582,0.35789473684210527,0.2346705445794625,0.06903725877505296
LIGA,USA,1X2,H,0.45,296,130,0.4735339161220694,0.4391891891891892,0.24848542116833522,0.03434472693288021
LIGA,USA,1X2,H,0.5,347,168,0.5246042826275927,0.484149855907781,0.2512293176465463,0.040454426719811754
LIGA,USA,1X2,H,0.55,297,166,0.5732045673105302,0.5589225589225589,0.24654359890245522,0.014282008387971223
LIGA,USA,1X2,H,0.6,211,141,0.6226145103462822,0.6682464454976303,0.224063615628806,0.04563193515134811
LIGA,USA,1X2,H,0.65,78,54,0.6710298141888261,0.6923076923076923,0.21384120777359733,0.021277878118866167
LIGA,USA,1X2,H,0.7,30,22,0.721884968522557,0.7333333333333333,0.19203854606491016,0.011448364810776268
LIGA,USA,1X2,H,0.75,13,11,0.771514510949675,0.8461538461538461,0.13498824960192995,0.0746393352041711
LIGA,USA,1X2,H,0.8,1,1,0.8058525093931378,1.0,0.037693248108941646,0.1941474906068622
GLOBAL,,1X2,A,0.0,232,7,0.04313669192001803,0.03017241379310345,0.029302563459734424,0.012964278126914582
GLOBAL,,1X2,A,0.05,1790,109,0.07686393671815524,0.06089385474860335,0.05752950017673045,0.015970081969551887
GLOBAL,,1X2,A,0.1,2447,339,0.12749510868932268,0.13853698406211687,0.11931441134848333,0.011041875372794191
GLOBAL,,1X2,A,0.15,4657,802,0.17677674311502126,0.1722138715911531,0.14230740391097016,0.004562871523868167
GLOBAL,,1X2,A,0.2,5187,1144,0.22445914035176504,0.22055137844611528,0.17174109986190617,0.003907761905649759
GLOBAL,,1X2,A,0.25,4080,1098,0.2734952897097169,0.2691176470588235,0.19632408169488122,0.00437764265089341
GLOBAL,,1X2,A,0.3,3867,1305,0.3266864804359997,0.33747090768037236,0.22341704862620543,0.010784427244372674
GLOBAL,,1X2,A,0.35,3011,1107,0.3716592477366845,0.3676519428761209,0.2322697499966346,0.00400730486056361
GLOBAL,,1X2,A,0.4,2014,863,0.424999957298902,0.4285004965243297,0.24440282719825004,0.0035005392254277012
GLOBAL,,1X2,A,0.45,1543,727,0.47247945080696396,0.4711600777705768,0.24916322920306402,0.0013193730363871836
GLOBAL,,1X2,A,0.5,1033,518,0.5238142444750501,0.5014520813165537,0.24972171562788384,0.022362163158496373
GLOBAL,,1X2,A,0.55,728,417,0.5741007714768914,0.5728021978021978,0.24468414470727592,0.0012985736746936594
GLOBAL,,1X2,A,0.6,520,335,0.6249993745199537,0.6442307692307693,0.22973978234585093,0.019231394710815586
GLOBAL,,1X2,A,0.65,350,228,0.6746187733218196,0.6514285714285715,0.2278306282341073,0.023190201893248164
GLOBAL,,1X2,A,0.7,300,215,0.7240282320936933,0.7166666666666667,0.20296099120841432,0.007361565427026595
GLOBAL,,1X2,A,0.75,192,150,0.7744996773658576,0.78125,0.17111019602690794,0.006750322634142436
GLOBAL,,1X2,A,0.8,165,139,0.823244269872392,0.8424242424242424,0.1338322453800656,0.019179972551850444
GLOBAL,,1X2,A,0.85,68,58,0.8674381011575674,0.8529411764705882,0.12520728635855527,0.014496924686979162
GLOBAL,,1X2,A,0.9,11,10,0.9092290695009115,0.9090909090909091,0.08176802480740547,0.0001381604100024747
GLOBAL,,1X2,D,0.0,23,0,0.04154217950861977,0.0,0.0017516617258902857,0.04154217950861977
GLOBAL,,1X2,D,0.05,454,40,0.07985539024421405,0.0881057268722467,0.08014574049589497,0.00825033662803265
GLOBAL,,1X2,D,0.1,1260,176,0.12891184142688533,0.13968253968253969,0.12001697005246158,0.010770698255654354
GLOBAL,,1X2,D,0.15,3375,595,0.17861401879926436,0.17629629629629628,0.1451327832156103,0.002317722502968078
GLOBAL,,1X2,D,0.2,6399,1544,0.2283116243523035,0.24128770120331303,0.1829773698766928,0.012976076851009516
GLOBAL,,1X2,D,0.25,13204,3731,0.276538762483959,0.28256588912450775,0.2026485497818947,0.0060271266405487744
GLOBAL,,1X2,D,0.3,6912,2173,0.3204769045578498,0.31438078703703703,0.21546846170343284,0.006096117520812738
GLOBAL,,1X2,D,0.35,729,257,0.3603733591603151,0.35253772290809327,0.22850767349160336,0.007835636252221834
GLOBAL,,1X2,D,0.4,1,0,0.4016045423002422,0.0,0.16128620839618701,0.4016045423002422
GLOBAL,,1X2,D,0.45,1,0,0.460483039330678,0.0,0.21204462951121877,0.460483039330678
GLOBAL,,1X2,D,0.55,1,0,0.5621649384127387,0.0,0.31602941798059836,0.5621649384127387
GLOBAL,,1X2,H,0.0,42,3,0.043819845410555475,0.07142857142857142,0.06761713172881631,0.02760872601801595
GLOBAL,,1X2,H,0.05,461,38,0.07571562301851988,0.0824295010845987,0.07546695477375387,0.006713878066078829
GLOBAL,,1X2,H,0.1,642,77,0.12752072644401857,0.11993769470404984,0.10504265045610668,0.007583031739968729
GLOBAL,,1X2,H,0.15,1222,209,0.17774084334731372,0.17103109656301146,0.14146036099982753,0.006709746784302251
GLOBAL,,1X2,H,0.2,1718,413,0.22654985269527278,0.24039580908032596,0.18213826805628391,0.013845956385053176
GLOBAL,,1X2,H,0.25,2346,625,0.27468384923707295,0.26641091219096336,0.1954189892107484,0.008272937046109596
GLOBAL,,1X2,H,0.3,3424,1075,0.32769267956955705,0.3139602803738318,0.2156628019130387,0.013732399195725276
GLOBAL,,1X2,H,0.35,3730,1377,0.3732347959372479,0.36916890080428955,0.23261593040970355,0.004065895132958353
